ProductID;Name;K-ID;Kategori;Date;Manad;Vecka;St.;kg;Ordinarie Pris [Kr];Sänkt till [Kr];Nedsatt [Kr];Nedsatt [%];Inpris (Förp) [Kr];Marginal [Kr];Marginal [%]
'90370946;Mango Kamomill - Fuze tea;1;Kolonial;2023-02-23 10:29:33;;;1,00;;   15,90;   11,13;    4,77; 30,0;    7,89;3,24;29,110512129380053908355795150
'90370946;Mango Kamomill - Fuze tea;1;Kolonial;2023-02-23 10:46:46;;;1,00;;   15,90;   11,13;    4,77; 30,0;    7,89;3,24;29,110512129380053908355795150
'90370946;Mango Kamomill - Fuze tea;1;Kolonial;2023-02-23 11:01:51;;;1,00;;   15,90;   11,13;    4,77; 30,0;    7,89;3,24;29,110512129380053908355795150
'90370946;Mango Kamomill - Fuze tea;1;Kolonial;2023-02-23 11:04:39;;;1,00;;   15,90;   11,13;    4,77; 30,0;    7,89;3,24;29,110512129380053908355795150
'7340170004952;;1;Kolonial;2023-02-24 14:25:35;;;1,00;;   50,00;   35,00;   15,00; 30,0;    0,00;35;100
'4001686327517;;1;Kolonial;2023-02-24 14:38:01;;;1,00;;   16,90;   11,83;    5,07; 30,0;    0,00;11,83;100
'4001686327517;;1;Kolonial;2023-02-24 14:38:01;;;1,00;;   16,90;   11,83;    5,07; 30,0;    0,00;11,83;100
'4001686327517;;1;Kolonial;2023-02-24 14:38:01;;;1,00;;   16,90;   11,83;    5,07; 30,0;    0,00;11,83;100
'4001686327517;;1;Kolonial;2023-02-24 14:38:01;;;1,00;;   16,90;   11,83;    5,07; 30,0;    0,00;11,83;100
'4001686327517;;1;Kolonial;2023-02-24 14:38:01;;;1,00;;   16,90;   11,83;    5,07; 30,0;    0,00;11,83;100
'4260556672281;;1;Kolonial;2023-02-24 14:40:39;;;1,00;;   16,99;   11,89;    5,10; 30,0;    0,00;11,89;100
'4010355487094;;1;Kolonial;2023-02-24 14:49:58;;;1,00;;   39,95;   27,97;   11,98; 30,0;    0,00;27,97;100
'94011;Banan Eko FT - ICA I love eco;3;Frukt & Grönt;2023-02-26 09:46:17;;;1,00;0,508;   12,67;    8,87;    3,80; 30,0;    7,09;1,7834;20,105975197294250281848928970
'4052899911222;LED Superstar 9W - Osram;1;Kolonial;2023-02-26 10:26:57;;;1,00;;  149,00;  104,30;   44,70; 30,0; 4812,00;-4707,7;-4513,6145733461169702780441035
'4052899910355;LED Star 5,5W - Osram;1;Kolonial;2023-02-26 11:26:31;;;1,00;;  100,00;   70,00;   30,00; 30,0; 5061,00;-4991;-7130,0
'7310401016481;Loka Citron ÅP - Loka;12;Fri Grupp 12;2023-02-26 13:10:30;;;1,00;;    6,90;    4,83;    2,07; 30,0;  246,00;-241,17;-4993,1677018633540372670807453
'7310401016481;Loka Citron ÅP - Loka;12;Fri Grupp 12;2023-02-26 13:11:54;;;1,00;;    6,90;    4,83;    2,07; 30,0;  246,00;-241,17;-4993,1677018633540372670807453
'4062300122345;Risot Milanes m ky - Hipp;1;Kolonial;2023-02-26 13:39:24;;;1,00;;   17,00;   11,90;    5,10; 30,0; 1257,00;-1245,1;-10463,025210084033613445378151
'4052899911246;osram led 2w - Osram;1;Kolonial;2023-02-26 13:39:55;;;1,00;;   99,00;   69,30;   29,70; 30,0;   41,00;28,3;40,836940836940836940836940840
